,Player,KM Cluster,Postion,Age,TeamAbbrv,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15
0,Langston Galloway,7,Guard,28.0,DET,-2.0077070843840215,-3.232788678699541,5.539256241131698,0.391043737534997,1.0725360499317305,-0.21044489949392498,-0.830491258071894,-0.016241235290541476,0.5043045278881715,0.004910972138595844,-0.14201124441990692,-1.3066845430705591,1.2985101194490654,-0.08815752630476181,-0.31669090725165416
1,Anfernee Simons,2,Guard,21.0,POR,-3.3669210299009733,-2.7967075445702982,-1.0883751764233476,1.187050273788257,0.31289265468383193,-1.4023779005248334,0.7071969640695471,-0.08630289356895252,-0.30152740899344643,0.08361134665627468,-0.983913471016217,0.5003812260394243,-1.8471825897862322,-1.439330782764812,0.20550461368816644
2,Bobby Portis,0,Forward,25.0,NYK,3.631949361479314,0.5030352087398571,0.37442257625274966,3.654579821778428,-2.7335146083876936,-0.06515030691757549,0.43937351710037,-0.06619970634655639,1.449815996273835,-0.21657090734841594,-1.6852617799462153,0.20330975615342942,0.011968870881608194,-0.41763568119156647,0.32854352622760485
3,Coby White,5,Guard,20.0,CHI,-5.76968727212218,-1.175579010026559,-0.3053850148021482,-0.001428512753676405,-1.2532273295494343,-0.5672111443715278,-0.8063151164676186,0.16509970887262881,-1.1161976074868716,-0.4496018881932591,0.8263110837533677,-1.0211051307797951,0.02934670551460472,-1.3400428600923662,0.5878036421847519
4,Dorian Finney-Smith,7,Forward,27.0,DAL,1.8552560408834609,-0.5913147526204665,5.30777789160073,-2.2765260190573824,1.1375483443942942,0.6072634238968604,-1.3712318203379446,1.3533262783111213,-0.0360773257346904,-1.0494996050484835,-0.1713737035152893,0.4985232561095478,-1.171874634376209,0.25134718930713645,-0.6009384023273081
5,Doug McDermott,7,Forward,28.0,IND,-0.11081793392472444,-3.5657354386117723,4.195580228661755,1.0173633274501162,4.119796146050337,-0.02583011551992715,1.7395373146901119,-0.4973175786718285,-1.9630521829876593,0.3117830836248089,1.131273972529127,0.6986734957288231,0.5310337129593519,0.8301512365996294,-0.26671735875073566
6,Ivica Zubac,4,Center,23.0,LAC,9.846732294218741,1.8656765289707742,-2.536561824864762,1.2320331298815381,2.2840330496923715,1.5701875594586603,1.9536290718926104,-0.521715850417597,-1.1420487183767136,1.7587108016878938,-0.8499027413248083,-1.4276758646251282,-0.7224527346419736,-1.491256774708192,-1.492059588829187
7,Jalen Brunson,2,Guard,23.0,DAL,-4.928235868309331,-2.25300090839901,-2.701050656182236,2.206445217180576,0.3257070772873552,2.0204801174783324,0.058979120781384564,-1.259085851915202,-1.4202541689985082,-0.833758022137063,-0.1940689033413616,-0.8654550988319666,-0.5241962469020713,0.18302373625815335,-0.3981277420317175
8,Justin Holiday,7,Forward-Guard,31.0,IND,-0.5996695222706716,-3.5064441815478267,4.804540224218602,-2.8775421571949504,-0.38328061835518296,1.1251966693396447,0.3351529273103026,-0.018271588484087078,-0.7221117357729787,1.367773820830585,0.15105810472836825,-0.3989012697779336,0.6004687983074238,-0.3780533187105287,-0.21790395961914916
9,Mikal Bridges,7,Forward,23.0,PHX,1.2909702379929522,-0.8320983185484834,3.3678816167862347,-4.5829589126445756,1.35057649988542,0.05307117600745015,0.32741644954034754,-1.684252782119273,0.6632176538691746,0.9635526237234585,-1.2173464231232305,0.7863235350215839,0.35553598834716005,0.0898203915295075,-0.616643755769374
10,Mike Scott,6,Forward,31.0,PHI,2.9499655176647006,-4.666390751656694,1.055482612304999,1.8319396695751144,-0.03631990020453721,0.09718257301784143,0.2142249701943696,1.0553235519557396,0.9659455091553367,-0.11075272068819443,-0.5858190838792265,0.34249044997391515,1.1305291549237315,2.173031482746687,-1.0369332626322885
11,Monte Morris,5,Guard,25.0,DEN,-4.931584492898639,-1.3466068447876158,-1.0091582644516752,0.42155965635512965,1.098549387236986,0.1332759771274582,0.02579034188153733,-2.489883716622657,-1.4131902104582237,0.5124207411954442,-2.1046373698771097,1.4592022308555492,-0.0560741033444922,-0.6748663237542513,-0.7055266912259586
12,Nikola Jokic,3,Center,25.0,DEN,4.3450349990305845,11.660860750381849,-0.48610115428906653,3.2697187954133584,-4.067080086852648,1.8072579539550155,-1.4604071958813434,-2.4699382592156747,0.7912627791541631,-0.45213899203431757,0.4004569092470216,3.730450458553119,1.8888785681554898,2.8406635612345466,-0.43841076504536397
13,Shai Gilgeous-Alexander,1,Guard-Forward,21.0,OKC,-5.915378194854433,5.790581802926981,-1.1401636461812934,-0.7968664534211973,0.6755005689855681,-0.384949931660612,0.06698450826604431,0.9458802648005723,0.7132176928419454,0.3009930621415838,-0.4424860462625551,-1.0894068425423076,-1.9736791893634809,0.44657065757878234,1.2605843958789213
14,Terence Davis,6,Guard,23.0,TOR,-1.0007563252022085,-3.2764553727754766,-0.05456895316091767,-1.2102997666004813,1.010085615332158,1.6647030786963355,2.9205189180142646,-0.9887179563025796,0.6203641981484055,-1.385113847942061,0.8116172355153697,1.8473354020925867,-0.8920819788095338,0.8714695291636769,0.5017220460805536
15,Tobias Harris,0,Forward,27.0,PHI,-2.380427941547253,6.0173066552519225,2.5595803050768695,2.193289933640188,0.11180507981369532,-0.6187779930185392,2.1041084797077882,0.5352328957202039,0.022903853887700346,0.24672235099764786,0.10091287463676218,0.6440325642789072,-0.5381531169331588,1.5760746990622063,-0.3247152274947634
16,Tomas Satoransky,5,Guard,28.0,CHI,-4.714854642550999,1.1588337741739614,-0.8087173413899517,-2.322985240821571,-0.8948754145637098,-0.3026384416478091,-1.7252517529246494,-0.7717310125578348,0.13460165914072872,-1.183321965192362,-1.255044494559238,-0.8989579542411114,1.0706144234867376,0.8926904219609876,-0.693847595915087
17,Zach LaVine,1,Guard-Forward,25.0,CHI,-6.896001470015537,6.864861272821384,1.1995135426262653,-1.9650271534838586,2.6656365903227592,-1.9957243058507625,0.2476989437167294,1.4661910149398232,0.2121062687096776,0.7050343717592842,1.4643762996079466,-0.3303693707045475,0.6870693872901895,-1.9917937363968603,1.3868744744451431
18,Bam Adebayo,3,Center-Forward,22.0,MIA,7.502853781193927,10.586886377456082,-1.8372881064259161,-1.5565048719397137,-0.8386342517209485,0.5460717858644191,-1.0464237813321633,-2.1268771503641886,-1.5512161362306887,-1.2580282850122908,1.8504739937788388,0.825097956475603,0.7636911418905484,1.3194527982325728,-2.5876336396560653
19,Ben McLemore,7,Guard,27.0,HOU,1.27585284861752,-4.6096057762922,5.660535993858613,-0.11882404429630022,2.0532234341631317,0.6895069278829072,-1.4981916626029783,1.1805794830279064,1.8095907032153111,-0.002450305841714657,0.6549709518135131,1.5473093701412663,1.270959153303934,-1.2846145934544748,1.3683734903793732
20,Bruce Brown,5,Guard-Forward,23.0,DET,-2.7129702278604704,0.8374402697612777,-1.1302586064986424,-3.5135390332548755,-1.1062765122557825,-0.8035472242799866,-1.6900275442121104,-0.4923176128985761,-0.8024712319678554,-1.3854557771090286,0.056007027887684496,0.3902378848284927,-0.7268123957569655,0.6299494101308423,0.5888171196525708
21,Bryn Forbes,2,Guard,26.0,SAS,-3.645180734815373,-4.114100437865915,2.4304367922248704,2.722402316773496,-0.09947398512829238,-0.9584386077776729,-0.4182089151891901,-0.7205765667033791,-0.08105811787272955,0.8142546545657616,1.235238213427515,-2.8447043253067212,2.022683264361013,-1.3238484129894044,-1.0059741237263975
22,Buddy Hield,5,Guard,27.0,SAC,-5.211817649110394,2.3251898421434323,3.238095031746429,1.0541663825799548,0.7519636199352475,-0.41163060209789754,-0.6085676727487087,0.09532491992517306,0.968353152073733,0.5691618866193607,0.9516452230437232,-0.7761819636780346,0.05841448950569841,-0.5328245016698285,0.2084854171013917
23,Cedi Osman,6,Forward,25.0,CLE,-0.6557830361302563,-3.4330779201243944,-0.3450832455340654,-0.2104894246025665,-1.593099807739152,-0.46054149864787286,-4.46139871039386,1.7129880357121972,2.1443861046685337,0.922327842952047,3.686698175560117,-0.6804761581075203,1.0652759842540374,1.5611731543909897,-0.8527747738044248
24,Chris Paul,1,Guard,35.0,OKC,-9.324185971128443,5.233618316625457,-4.294778272951083,2.0023178495950766,-0.19380155351843328,3.159630335732582,-1.1083001024774992,-1.5218593971821623,2.807450560548892,2.4191889759418643,-1.3327231630853937,-1.1207251322469123,1.0460532672254568,0.19492004005248137,-0.6823864190749124
25,Collin Sexton,1,Guard,21.0,CLE,-6.906876067670891,5.64335898941018,-0.4902986355735289,0.19700870994129252,1.3702721764420065,-3.6880905475416754,-1.315774922081501,-0.622006087739265,0.375476719513174,-0.3403953361700114,-0.017068745256484226,-0.7654392408458367,0.6064436035377821,-0.38429093730495156,-0.6955061587669554
26,Cory Joseph,5,Guard,28.0,SAC,-3.616239120886447,-1.6008691715430488,-1.4650674708173967,-0.34169084852900494,-0.45216565829698985,-0.671215614702214,-1.5665549338804314,-0.9208091938775979,-0.7571193911046586,-0.0736442396755525,-2.339713657781317,1.614769770096196,-0.5000722677545298,1.918270528342818,-0.5241844887392401
27,Damian Lillard,1,Guard,29.0,POR,-11.291104330327448,8.82329475289864,-3.9751044003905385,0.5778912975818788,3.487636119709398,1.3466498374102318,-0.8918852662521386,2.712431183326912,1.3231442838662184,-0.05260032391459195,-0.49338576981468757,-0.60600087764041,1.1853762591120534,-2.112792588560915,-1.1294722858171837
28,Dennis Schroder,5,Guard,26.0,OKC,-7.257390693605534,3.7873419173384453,0.8359252928186427,1.0727019371624809,1.6048684699182643,1.7642154306097273,0.5156628308387415,0.376285127941209,-2.075419197916861,1.2809428813626658,-0.7360650950754066,1.3337908845462887,-0.17878030301206427,0.04426613658399692,0.9885424539871104
29,Devonte' Graham,1,Guard,25.0,CHA,-8.56707001431291,3.6176948487274507,-1.2741247538763654,-0.4982089094337179,0.6568213702045546,0.22498410314701475,-3.9393688444710984,1.3371776547599883,-1.549483429021312,0.11375319745151742,-1.6745763747789144,0.42207191468299704,1.5752450103550237,0.044577659210756924,0.059329654423067556
30,Dillon Brooks,5,Guard-Forward,24.0,MEM,-4.619556409586461,1.7190483959116463,2.449495568672538,0.9920002468774493,-0.14750439276739807,-2.242094740817679,0.4480072708598586,-0.3792758818884224,-1.5456914057693345,1.7997617808657425,0.18512063887430055,-1.7587139230747795,-1.022260618229754,1.33202320343573,0.1825310795524083
