,hustleID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS
0,203932,Aaron Gordon,ORL,24.0,5.32,3.37,1.95,1.02,0.02,0.89,1.92,1.08,1.08
1,1628988,Aaron Holiday,IND,23.0,6.24,2.95,3.29,1.68,0.05,0.2,0.47,0.7,1.03
2,1627846,Abdel Nader,OKC,26.0,4.05,2.31,1.75,0.98,0.0,0.13,0.29,0.53,0.78
3,1629690,Adam Mokoka,CHI,21.0,1.27,0.36,0.91,0.91,0.0,0.09,0.18,0.27,0.82
4,1629678,Admiral Schofield,WAS,23.0,2.48,1.55,0.94,0.45,0.03,0.7,1.61,0.27,1.15
5,201143,Al Horford,PHI,34.0,10.06,7.21,2.85,1.52,0.0,2.58,5.85,1.0,4.67
6,202329,Al-Farouq Aminu,ORL,29.0,6.28,3.28,3.0,2.0,0.06,0.72,1.5,0.83,1.89
7,202692,Alec Burks,PHI,28.0,5.15,2.71,2.44,1.64,0.05,0.12,0.32,0.76,0.41
8,1629346,Alen Smailagic,GSW,19.0,3.86,2.57,1.29,0.43,0.14,1.07,2.43,0.57,1.57
9,1627936,Alex Caruso,LAL,26.0,3.95,2.0,1.95,2.05,0.16,0.44,1.03,0.72,1.17
10,203458,Alex Len,SAC,27.0,8.56,6.93,1.64,0.75,0.0,2.49,5.91,0.49,3.25
11,1628035,Alfonzo McKinnie,CLE,27.0,2.28,1.2,1.08,1.1,0.05,0.13,0.33,0.35,0.48
12,1628993,Alize Johnson,IND,24.0,1.65,0.59,1.06,0.24,0.0,0.24,0.65,0.06,0.59
13,203459,Allen Crabbe,MIN,28.0,2.32,1.24,1.08,1.14,0.03,0.05,0.14,0.35,0.22
14,1629019,Allonzo Trier,NYK,24.0,2.29,1.17,1.13,0.29,0.0,0.04,0.08,0.17,0.13
15,1628518,Amile Jefferson,ORL,27.0,1.28,0.67,0.61,0.11,0.0,0.33,0.83,0.17,0.5
16,1629599,Amir Coffey,LAC,23.0,1.72,0.83,0.89,0.28,0.0,0.06,0.17,0.22,0.22
