,pnrmID,PLAYER_NAME,PickNRollMan percent Poss ,PickNRollMan PPP,PickNRollMan FG PCT,PickNRollMan percent ScorePoss,PickNRollMan Poss,PickNRollMan FGM,PickNRollMan FGA
0,1627734,Domantas Sabonis,0.303,1.109,0.552,0.556,5.6,2.5,4.5
1,202696,Nikola Vucevic,0.271,1.111,0.502,0.5,5.2,2.4,4.8
2,203497,Rudy Gobert,0.274,1.216,0.646,0.66,3.5,1.6,2.4
3,202355,Hassan Whiteside,0.27,1.157,0.603,0.589,3.7,1.8,3.0
4,1628381,John Collins,0.28,1.313,0.609,0.596,5.1,2.7,4.4
5,1628386,Jarrett Allen,0.293,1.369,0.724,0.697,2.8,1.7,2.3
6,201586,Serge Ibaka,0.306,0.996,0.519,0.48,4.6,2.0,3.8
7,203999,Nikola Jokic,0.169,1.025,0.479,0.461,3.3,1.4,3.0
8,1628389,Bam Adebayo,0.177,1.175,0.624,0.597,2.9,1.4,2.3
9,1626149,Montrezl Harrell,0.173,1.31,0.697,0.658,2.9,1.7,2.5
10,203076,Anthony Davis,0.127,1.28,0.591,0.591,3.0,1.4,2.4
11,1628467,Maxi Kleber,0.257,1.449,0.596,0.589,2.1,1.2,2.0
12,202685,Jonas Valanciunas,0.186,1.251,0.623,0.598,2.6,1.4,2.2
13,200746,LaMarcus Aldridge,0.221,1.014,0.461,0.45,3.9,1.7,3.6
14,204001,Kristaps Porzingis,0.156,1.169,0.461,0.5,3.1,1.2,2.7
15,1626174,Christian Wood,0.197,1.504,0.71,0.73,2.2,1.2,1.7
16,1626167,Myles Turner,0.267,1.035,0.438,0.457,3.2,1.2,2.7
17,1629634,Brandon Clarke,0.229,1.508,0.756,0.758,2.3,1.6,2.1
18,203500,Steven Adams,0.225,1.285,0.689,0.662,2.4,1.3,1.9
19,1629011,Mitchell Robinson,0.26,1.655,0.859,0.836,1.9,1.4,1.6
20,1628418,Thomas Bryant,0.285,1.243,0.597,0.595,3.2,1.7,2.8
21,203457,Nerlens Noel,0.326,1.365,0.78,0.683,2.1,1.2,1.5
22,1628464,Daniel Theis,0.275,1.171,0.585,0.568,2.2,1.2,2.0
23,203469,Cody Zeller,0.244,1.013,0.5,0.51,2.7,1.1,2.2
24,1626158,Richaun Holmes,0.284,1.209,0.641,0.612,2.9,1.5,2.3
25,1629637,Jaxson Hayes,0.295,1.325,0.667,0.709,1.8,0.8,1.2
26,203083,Andre Drummond,0.167,0.957,0.533,0.512,3.3,1.3,2.5
27,201143,Al Horford,0.177,1.041,0.431,0.432,2.2,0.9,2.0
28,201572,Brook Lopez,0.155,1.208,0.514,0.536,1.8,0.8,1.6
29,1626157,Karl-Anthony Towns,0.172,1.071,0.447,0.433,4.0,1.6,3.5
30,201567,Kevin Love,0.111,1.377,0.553,0.538,1.9,0.9,1.7
31,1629028,Deandre Ayton,0.183,1.159,0.605,0.579,3.3,1.8,3.0
32,1627826,Ivica Zubac,0.227,1.192,0.614,0.625,1.7,0.7,1.2
33,203486,Mason Plumlee,0.237,1.343,0.72,0.686,1.7,1.0,1.3
34,203382,Aron Baynes,0.263,1.138,0.491,0.488,2.9,1.3,2.6
35,1629023,P.J. Washington,0.19,0.979,0.435,0.454,2.4,0.9,2.0
36,202684,Tristan Thompson,0.202,0.913,0.487,0.473,2.6,1.0,2.0
37,203507,Giannis Antetokounmpo,0.066,1.174,0.596,0.583,1.8,0.8,1.4
38,202324,Derrick Favors,0.278,1.145,0.621,0.59,2.3,1.2,1.9
39,1628991,Jaren Jackson Jr.,0.114,1.243,0.516,0.533,1.9,0.8,1.6
40,1627745,Damian Jones,0.349,1.494,0.787,0.759,1.6,1.1,1.4
41,201599,DeAndre Jordan,0.223,1.333,0.74,0.656,1.7,1.0,1.4
42,203944,Julius Randle,0.095,0.945,0.46,0.492,2.0,0.7,1.6
43,201568,Danilo Gallinari,0.079,1.475,0.539,0.55,1.3,0.7,1.2
44,1628976,Wendell Carter Jr.,0.232,1.035,0.506,0.54,2.6,0.9,1.8
45,203954,Joel Embiid,0.107,0.951,0.404,0.431,2.4,0.8,2.0
46,203939,Dwight Powell,0.27,1.353,0.697,0.694,2.1,1.1,1.6
47,1628449,Chris Boucher,0.261,1.152,0.5,0.515,1.6,0.6,1.3
48,203476,Gorgui Dieng,0.257,1.256,0.527,0.522,2.0,0.8,1.6
49,201959,Taj Gibson,0.237,1.306,0.653,0.671,1.4,0.8,1.2
50,1626171,Bobby Portis,0.158,0.991,0.446,0.45,1.7,0.7,1.5
51,1628374,Lauri Markkanen,0.154,0.947,0.362,0.386,2.3,0.7,1.9
52,203924,Jerami Grant,0.11,1.209,0.5,0.5,1.2,0.5,1.1
53,1627737,Marquese Chriss,0.176,1.095,0.549,0.579,1.6,0.7,1.2
54,202357,Nemanja Bjelica,0.104,1.272,0.493,0.481,1.1,0.5,1.0
55,203458,Alex Len,0.288,1.041,0.539,0.551,2.5,1.0,1.9
56,203488,Mike Muscala,0.408,1.112,0.407,0.404,1.9,0.7,1.8
57,1628396,Tony Bradley,0.289,1.406,0.714,0.696,1.2,0.8,1.1
58,1627751,Jakob Poeltl,0.198,1.31,0.742,0.662,1.1,0.7,0.9
59,202687,Bismack Biyombo,0.249,0.949,0.474,0.49,1.8,0.7,1.4
60,203991,Clint Capela,0.17,1.095,0.631,0.571,2.2,1.1,1.7
61,1626163,Frank Kaminsky,0.245,0.957,0.443,0.457,2.4,0.9,2.0
62,201188,Marc Gasol,0.267,0.896,0.398,0.385,2.2,0.8,1.9
63,203967,Dario Saric,0.107,1.164,0.492,0.507,1.1,0.4,0.9
64,1629021,Moritz Wagner,0.195,1.108,0.569,0.541,1.6,0.7,1.3
65,1626204,Larry Nance Jr.,0.153,1.012,0.479,0.457,1.4,0.6,1.3
66,1628964,Mo Bamba,0.286,0.8,0.341,0.33,1.6,0.5,1.4
67,1628436,Luke Kornet,0.349,1.068,0.485,0.473,2.1,0.9,1.9
68,1626161,Willie Cauley-Stein,0.201,1.141,0.667,0.563,1.6,0.8,1.2
69,203482,Kelly Olynyk,0.134,1.058,0.484,0.464,1.0,0.4,0.9
70,1629675,Naz Reid,0.285,0.901,0.366,0.407,2.7,0.9,2.4
71,101141,Ersan Ilyasova,0.163,1.143,0.48,0.524,1.0,0.4,0.8
72,201577,Robin Lopez,0.156,1.183,0.653,0.583,0.9,0.5,0.7
73,1629740,Nicolo Melli,0.152,1.131,0.462,0.459,1.0,0.4,0.9
74,203210,JaMychal Green,0.152,1.03,0.393,0.364,1.0,0.3,0.9
75,1629655,Daniel Gafford,0.257,1.327,0.703,0.694,1.1,0.6,0.9
76,1627746,Skal Labissiere,0.275,1.208,0.652,0.623,1.6,0.9,1.4
77,2546,Carmelo Anthony,0.083,0.81,0.371,0.392,1.4,0.4,1.2
78,1628385,Harry Giles III,0.178,1.105,0.583,0.561,1.2,0.6,1.0
79,201580,JaVale McGee,0.116,1.326,0.667,0.674,0.7,0.4,0.5
80,101133,Ian Mahinmi,0.184,1.071,0.512,0.554,1.5,0.6,1.1
81,1629016,Omari Spellman,0.149,1.034,0.386,0.466,1.2,0.3,0.9
82,203473,Dewayne Dedmon,0.296,0.868,0.429,0.368,2.0,0.7,1.6
83,1629627,Zion Williamson,0.1,1.16,0.571,0.64,2.1,0.8,1.5
84,1629735,Chris Silva,0.152,1.667,0.875,0.917,0.6,0.4,0.4
85,1627884,Derrick Jones Jr.,0.087,1.5,0.7,0.737,0.6,0.4,0.5
86,1627767,Cheick Diallo,0.228,1.295,0.676,0.636,0.9,0.5,0.8
87,1629060,Rui Hachimura,0.095,0.905,0.456,0.429,1.3,0.5,1.2
88,1627783,Pascal Siakam,0.037,1.098,0.489,0.51,0.9,0.4,0.8
89,1628981,Bruno Fernando,0.202,1.019,0.535,0.528,0.9,0.4,0.8
