,Player,Player ID,Team ID,Team Abbrev,GP,MIN,Height (in),Weight (lbs),Player Postion,Advanced ASTpercent,Advanced OREBpercent,Advanced DREBpercent,Advanced REBpercent,Advanced TSpercent,Advanced USGpercent,Advanced PACE,Advanced PIE,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT,Scoring RA FGPCT,Scoring ITP(NonRA) FGPCT,Scoring MR FGPCT,Scoring LC3 FGPCT,Scoring RC3 FGPCT,Scoring ATB3 FGPCT,Scoring Backcourt3 FGPCT,Scoring Corner FGPCT,spotupoffense Poss,spotupoffense PPP,touches Time_OfPoss,touches Avg_Sec_PerTouch,touches Avg_Drib_PerTouch,PickNRollHandler Poss,PickNRollHandler PPP,PickNRollHandler FG PCT,PickNRollHandler FT Poss,PickNRollHandler TOV Poss,PickNRollHandler SFF Poss,ISO Percentile,ISO Poss,ISO PPP,ISO FG PCT,Passing ASTPTS Created,Passing percent ASTtoPassADJ,TransitionOffensive Poss,TransitionOffensive PPP,PickNRollMan Percentile,PickNRollMan Poss,PickNRollMan PPP,postupdefense Poss,postupdefense PPP,Postupoffense Poss,Postupoffense PPP,putbacksoffense Poss,putbacksoffense PPP,Defense UnderRim OPPFGPCT,Defense <5ft OPPFGPCT,Defense 5-9ft OPPFGPCT,Defense 10-14ft OPPFGPCT,Defense 15-19ft OPPFGPCT,Defense 20-24ft OPPFGPCT,Defense 25-29ft OPPFGPCT,Defense 30-34ft OPPFGPCT,Defense 35-39ft OPPFGPCT,Defense 40+ft OPPFGPCT,Defense STLpercent,Defense BLKpercent,Defense WinShares
0,Langston Galloway,204038.0,1610612765.0,DET,66.0,25.8,73.0,200.0,Guard,8.8,1.8,6.5,4.1,58.3,14.5,100.78,7.4,7.3,58.8,16.1,11.4,14.2,22.5,73.3,100.0,88.4,40.5,33.0,28.1,65.9,45.2,48.699999999999996,67.60000000000001,35.3,25.0,37.0,27.800000000000004,31.2,0.0,33.300000000000004,3.3,1.2,0.9,1.94,1.25,51.7,1.149,46.800000000000004,14.7,10.2,11.3,91.5,45.0,1.124,40.699999999999996,930.0000000000001,11.700000000000001,1.6,1.32,54.800000000000004,30.3,1.109,0.2,1.14,0.0,0.0,0.2,0.5,57.3,61.6,38.800000000000004,44.7,47.099999999999994,40.8,37.5,21.7,0.0,0.0,18.8,7.000000000000001,5.2
1,Anfernee Simons,1629014.0,1610612757.0,POR,70.0,20.7,75.0,181.0,Guard,10.2,1.6,8.4,5.0,51.7,18.1,103.1,6.1,15.5,38.2,11.8,12.7,13.5,33.5,35.0,68.8,46.5,44.800000000000004,43.2,35.9,50.0,0.0,75.0,54.2,34.9,34.0,43.8,45.5,38.5,0.0,44.7,2.4,0.89,2.1,3.8,3.25,53.300000000000004,0.978,42.4,13.4,15.7,11.200000000000001,52.2,25.0,0.866,41.9,880.0000000000001,14.799999999999999,1.4,0.93,55.300000000000004,27.1,1.111,0.4,0.82,0.0,0.0,0.0,0.0,70.19999999999999,59.9,37.9,43.9,38.9,31.900000000000002,33.7,38.5,0.0,0.0,16.0,5.8999999999999995,3.3000000000000003
2,Bobby Portis,1626171.0,1610612752.0,NYK,66.0,21.1,82.0,250.0,Forward,11.9,5.9,18.1,11.8,51.3,20.2,101.75,10.3,13.1,31.8,6.0,10.8,14.6,44.3,52.3,98.2,64.7,51.4,37.8,40.6,80.0,0.0,62.5,67.9,36.8,37.5,36.0,52.900000000000006,34.9,0.0,42.9,2.7,0.99,1.1,1.68,0.69,46.300000000000004,1.036,48.0,16.3,14.799999999999999,13.700000000000001,87.0,17.9,1.073,46.0,170.0,8.9,1.0,1.29,71.89999999999999,27.400000000000002,1.216,0.7,0.89,2.1,0.81,1.1,0.9,58.3,61.4,46.1,43.0,42.3,35.0,31.0,45.5,50.0,0.0,15.4,13.8,5.4
3,Coby White,1629632.0,1610612741.0,CHI,65.0,25.8,77.0,195.0,Guard,15.5,1.7,13.0,6.9,47.7,22.3,102.28,7.6,6.9,48.0,20.1,11.1,20.3,34.0,28.0,78.6,50.2,57.099999999999994,37.5,0.0,25.0,0.0,0.0,50.0,0.0,0.0,25.0,50.0,42.9,0.0,37.5,3.4,0.94,2.7,3.82,3.21,48.0,0.951,44.9,8.3,11.200000000000001,7.000000000000001,59.3,17.5,0.9,39.300000000000004,90.0,6.4,2.5,1.06,62.7,27.0,1.157,0.2,1.17,0.0,0.0,0.0,0.0,75.0,62.7,50.0,20.0,36.4,47.099999999999994,27.800000000000004,0.0,0.0,0.0,14.000000000000002,4.2,7.7
4,Dorian Finney-Smith,1627827.0,1610612742.0,DAL,71.0,29.9,79.0,220.0,Forward,6.8,6.7,11.2,9.0,59.4,12.8,99.37,7.1,1.2,51.6,15.9,11.6,16.1,35.6,56.8,96.6,76.1,0.0,34.5,37.5,50.0,80.0,100.0,50.0,42.9,66.7,54.50000000000001,33.300000000000004,25.0,0.0,45.0,3.8,1.03,1.1,1.85,0.85,48.699999999999996,1.077,54.7,13.900000000000002,14.799999999999999,3.2,81.8,15.0,1.019,41.199999999999996,120.0,4.7,1.6,1.24,82.0,28.000000000000004,1.313,1.0,0.84,0.0,0.0,1.0,1.04,68.4,60.3,35.0,42.1,32.4,41.5,39.300000000000004,0.0,0.0,0.0,17.1,19.6,8.200000000000001
5,Doug McDermott,203926.0,1610612754.0,IND,69.0,19.9,79.0,225.0,Forward,7.4,1.9,9.6,5.9,61.8,18.3,101.43,8.9,5.2,55.6,12.4,6.3,13.1,32.9,85.3,100.0,92.6,46.5,37.3,49.2,65.3,48.699999999999996,51.0,69.6,36.0,44.6,26.700000000000003,27.3,36.199999999999996,0.0,27.0,1.9,1.24,0.5,1.31,0.49,48.199999999999996,0.889,41.8,16.3,15.299999999999999,15.0,75.7,15.8,0.996,40.8,1010.0,10.9,1.0,1.38,88.5,29.299999999999997,1.369,0.3,1.29,0.0,0.0,0.3,1.31,62.5,62.9,39.5,37.5,40.699999999999996,36.1,34.9,35.3,33.300000000000004,0.0,6.0,4.1000000000000005,8.0
6,Ivica Zubac,1627826.0,1610612746.0,LAC,72.0,18.4,84.0,240.0,Center,8.7,13.2,22.9,18.1,63.7,16.5,101.91,13.5,6.8,0.0,12.4,19.9,15.6,73.3,72.9,0.0,72.9,20.0,30.8,0.0,33.300000000000004,0.0,50.0,35.699999999999996,25.0,33.300000000000004,50.0,16.7,23.1,0.0,30.0,0.2,1.09,0.9,1.47,0.4,51.2,0.921,42.8,12.3,13.200000000000001,11.200000000000001,58.3,14.899999999999999,0.895,43.4,310.0,5.2,0.8,1.55,30.4,30.599999999999998,0.996,0.8,0.68,0.5,0.8,1.9,1.08,66.7,56.599999999999994,52.6,44.6,43.3,33.7,30.9,33.300000000000004,0.0,0.0,7.1,47.099999999999994,7.9
7,Jalen Brunson,1628973.0,1610612742.0,DAL,57.0,17.9,73.0,190.0,Guard,26.4,2.1,10.2,6.2,55.5,19.9,100.79,10.8,15.7,28.0,12.8,13.3,12.6,43.0,23.0,81.4,37.1,40.300000000000004,38.3,41.5,73.7,60.0,54.50000000000001,53.2,34.1,41.3,50.0,44.0,36.5,0.0,47.5,1.7,0.98,2.9,4.5,4.04,48.5,1.088,47.099999999999994,8.4,10.7,7.3,84.6,14.7,1.052,47.099999999999994,710.0,9.9,1.5,0.96,38.7,16.900000000000002,1.025,0.5,1.32,0.0,0.0,0.0,0.0,59.3,64.0,34.8,43.8,39.900000000000006,38.9,35.9,24.099999999999998,33.300000000000004,10.0,17.7,3.9,7.000000000000001
8,Justin Holiday,203200.0,1610612754.0,IND,73.0,25.0,78.0,180.0,Forward-Guard,7.6,2.0,10.3,6.3,59.1,12.6,102.0,7.8,5.3,65.9,19.1,9.0,20.9,19.8,80.7,97.0,91.1,44.4,21.4,50.0,85.7,80.0,50.0,87.5,28.599999999999998,25.0,50.0,0.0,25.0,0.0,20.0,2.6,1.11,0.8,1.6,0.72,50.3,0.868,45.5,12.2,17.1,10.8,92.30000000000001,13.900000000000002,1.133,51.300000000000004,240.0,10.0,1.7,1.27,66.8,17.7,1.175,0.7,0.65,0.0,0.0,0.2,0.67,47.8,56.10000000000001,28.000000000000004,52.900000000000006,38.5,56.8,34.5,33.300000000000004,0.0,0.0,29.599999999999998,24.0,9.5
9,Mikal Bridges,1628969.0,1610612756.0,PHX,73.0,28.0,78.0,209.0,Forward,8.7,3.3,11.3,7.4,60.8,12.3,103.66,8.3,4.5,27.7,18.9,16.4,21.8,51.4,75.8,100.0,81.8,38.3,32.6,25.0,54.50000000000001,0.0,61.5,64.2,9.4,22.6,29.4,31.8,35.0,0.0,30.8,2.7,0.83,1.0,1.69,0.73,32.2,0.972,47.3,12.2,14.7,11.4,56.699999999999996,17.599999999999998,0.88,38.800000000000004,470.0,9.6,1.6,1.37,81.10000000000001,17.299999999999997,1.31,0.7,0.98,0.0,0.0,0.4,1.35,65.7,57.599999999999994,42.699999999999996,39.2,35.099999999999994,36.0,32.6,27.3,25.0,20.0,29.5,25.8,9.0
