,pnrhID,PickNRollHandler Poss,PickNRollHandler PPP,PickNRollHandler FG PCT,PickNRollHandler FT Poss,PickNRollHandler TOV Poss,PickNRollHandler SFF Poss
0,203081,0.517,1.149,0.468,0.147,0.102,0.113
1,1629027,0.533,0.978,0.424,0.134,0.157,0.112
2,1629029,0.463,1.036,0.48,0.163,0.148,0.137
3,1628378,0.48,0.951,0.449,0.083,0.112,0.07
4,101108,0.487,1.077,0.547,0.139,0.148,0.032
5,203915,0.482,0.889,0.418,0.163,0.153,0.15
6,101150,0.512,0.921,0.428,0.123,0.132,0.112
7,202689,0.485,1.088,0.471,0.084,0.107,0.073
8,1629630,0.503,0.868,0.455,0.122,0.171,0.108
9,203078,0.322,0.972,0.473,0.122,0.147,0.114
10,203468,0.363,0.928,0.441,0.053,0.074,0.049
11,203897,0.372,0.89,0.409,0.106,0.148,0.096
12,201942,0.346,1.049,0.512,0.165,0.095,0.151
13,1628984,0.45,0.898,0.386,0.102,0.173,0.077
14,201565,0.552,0.936,0.485,0.076,0.126,0.072
15,1628983,0.376,0.959,0.469,0.124,0.112,0.106
16,2544,0.273,0.987,0.462,0.124,0.126,0.111
17,202695,0.328,0.968,0.438,0.141,0.111,0.109
18,1629012,0.37,0.902,0.441,0.09,0.114,0.07
19,1626164,0.273,0.923,0.467,0.123,0.195,0.102
20,203471,0.384,0.847,0.432,0.108,0.155,0.1
21,1628369,0.255,1.021,0.459,0.08,0.113,0.075
22,1628368,0.394,0.885,0.44,0.152,0.136,0.154
23,1627763,0.433,0.92,0.452,0.058,0.114,0.046
24,201935,0.179,0.979,0.483,0.186,0.234,0.16
25,1628365,0.441,0.85,0.455,0.078,0.131,0.071
26,201609,0.393,0.94,0.437,0.133,0.161,0.086
27,203095,0.318,0.956,0.428,0.115,0.115,0.101
28,202710,0.355,0.864,0.365,0.202,0.119,0.192
29,1629134,0.337,0.919,0.455,0.028,0.106,0.022
30,1627741,0.262,0.898,0.405,0.052,0.146,0.047
31,200768,0.28,1.022,0.471,0.146,0.201,0.121
32,202331,0.329,0.97,0.452,0.104,0.159,0.095
33,201950,0.318,0.781,0.404,0.067,0.169,0.062
34,201571,0.538,0.939,0.428,0.134,0.152,0.128
35,203952,0.364,0.863,0.415,0.109,0.131,0.101
36,1627747,0.394,0.839,0.425,0.079,0.155,0.076
