,shootID,Scoring DriveFGPCT,Scoring CatchShootFGPCT,Scoring PullUpFGPCT,Scoring ITPFGPCT,Scoring PostFGPCT,Scoring ElbowFGPCT
0,203932,0.405,0.33,0.281,0.659,0.452,0.487
1,1628988,0.448,0.432,0.359,0.5,0.0,0.75
2,1627846,0.514,0.378,0.406,0.8,0.0,0.625
3,1629690,0.571,0.375,0.0,0.25,0.0,0.0
4,1629678,0.0,0.345,0.375,0.5,0.8,1.0
5,201143,0.465,0.373,0.492,0.653,0.487,0.51
6,202329,0.2,0.308,0.0,0.333,0.0,0.5
7,202692,0.403,0.383,0.415,0.737,0.6,0.545
8,1629346,0.444,0.214,0.5,0.857,0.8,0.5
9,1627936,0.383,0.326,0.25,0.545,0.0,0.615
10,203458,0.643,0.296,0.25,0.639,0.524,0.472
11,1628035,0.488,0.224,0.273,0.667,0.0,1.0
12,1628993,0.143,0.375,0.0,0.625,0.0,0.5
13,203459,0.385,0.348,0.237,0.833,0.0,0.75
14,1629019,0.619,0.393,0.481,0.333,0.0,0.0
15,1628518,0.5,0.0,0.0,0.167,0.0,0.5
16,1629599,0.526,0.357,0.357,0.25,0.0,0.0
17,203083,0.444,0.136,0.182,0.607,0.54,0.428
18,2738,0.5,0.333,0.294,0.833,0.0,0.8
19,203460,0.25,0.25,0.0,0.429,0.0,1.0
20,203952,0.489,0.344,0.322,0.625,0.519,0.6
21,1629014,0.406,0.338,0.344,0.765,0.0,0.333
22,1627790,1.0,0.714,0.0,0.636,0.438,0.55
23,203076,0.468,0.353,0.36,0.709,0.452,0.593
24,201229,0.222,0.336,0.583,0.5,0.0,0.4
25,1628499,0.6,0.0,0.333,0.0,0.0,0.0
26,1628394,0.5,0.143,1.0,0.592,0.8,0.433
27,203382,0.538,0.35,0.4,0.595,0.567,0.548
28,203085,0.455,0.354,0.364,0.667,0.0,0.75
29,202340,0.463,0.377,0.443,0.575,0.0,0.364
30,1629168,0.0,0.25,0.214,1.0,0.0,0.0
31,1628389,0.568,0.411,0.291,0.652,0.452,0.56
32,203463,0.4,0.408,0.391,0.857,0.0,0.722
33,1627732,0.502,0.333,0.225,0.678,0.5,0.541
34,202687,1.0,0.25,0.25,0.552,0.643,0.49
35,201933,0.471,0.227,0.243,0.391,0.522,0.8
36,1626246,0.0,0.359,0.4,0.702,0.41,0.44
37,1626171,0.541,0.364,0.436,0.477,0.475,0.636
38,203992,0.474,0.41,0.394,0.645,0.5,0.875
39,202711,0.454,0.419,0.364,0.686,0.519,0.765
40,1629626,0.75,0.4,0.25,0.556,1.0,0.0
41,202954,0.38,0.468,0.33,0.733,0.0,0.667
42,203078,0.525,0.38,0.383,0.51,0.385,0.594
43,1629634,0.586,0.417,0.527,0.686,0.462,0.604
44,1629164,0.446,0.22,0.404,0.571,0.0,0.5
45,1627742,0.476,0.409,0.388,0.652,0.414,0.565
46,202688,0.448,0.313,0.361,1.0,0.0,0.0
47,1628968,1.0,0.0,0.0,0.333,0.0,0.0
48,201572,0.518,0.319,0.456,0.617,0.495,0.609
49,1628971,0.399,0.359,0.172,0.584,0.667,0.72
50,203998,0.444,0.179,0.375,0.654,0.333,0.5
51,1628981,0.417,0.147,0.357,0.67,0.583,0.533
52,1627854,0.527,0.388,0.415,0.286,0.0,0.333
53,1627741,0.516,0.401,0.395,0.519,0.5,0.5
