,Player,Advanced ASTpercent,Advanced OREBpercent,Advanced DREBpercent,Advanced REBpercent,Advanced TSpercent,Advanced USGpercent,Advanced PACE,Advanced PIE,postupdefense Poss,postupdefense PPP,Postupoffense Poss,Postupoffense PPP,putbacksoffense Poss,putbacksoffense PPP,Scoring percentPTS2PT_MR,Scoring percentPTS3PT,Scoring percentPTSFBPs,Scoring percentPTSFT,Scoring percentPTSOffTO,Scoring percentPTSPITP,Scoring 2FGMpercentAST,Scoring 3FGMpercentAST,Scoring FGMpercentAST,spotupoffense Poss,spotupoffense PPP,touches Time_OfPoss,touches Avg_Sec_PerTouch,touches Avg_Drib_PerTouch,TransitionOffensive Poss,TransitionOffensive PPP,Player ID,Team ID,GP,MIN,DREB,STL,Defense STLpercent,BLK,Defense BLKpercent,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,Defense WinShares,Height (in),Weight (lbs),Player Postion,PickNRollMan percent Poss ,PickNRollMan PPP,PickNRollMan FG PCT,PickNRollMan percent ScorePoss,PickNRollMan Poss,PickNRollMan FGM,PickNRollMan FGA,PickNRollHandler Poss,PickNRollHandler PPP,PickNRollHandler FG PCT,PickNRollHandler Poss,PickNRollHandler FGM,PickNRollHandler FGA,ISO PPP,ISO FG PCT,ISO percent ScorePoss,ISO Poss,ISO FGM,ISO FGA,Team Abbrev,AGE,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS,Cutting PPP,Cutting FG PCT,Cutting Poss,Cutting FGM,Cutting FGA,Handoff percent Poss,Handoff PPP,Handoff FG PCT,Handoff Poss,Handoff PTS,Handoff FGM,Handoff FGA,Passing Passes Made,Passing Passes Rec,AST,Passing ASTPTS Created,Passing percent ASTtoPass,Defense UnderRim OPPFGM,Defense UnderRim OPPFGA,Defense UnderRim OPPFGPCT,Defense <5ft OPPFGPCT,Defense 5-9ft OPPFGPCT,Defense 10-14ft OPPFGPCT,Defense 15-19ft OPPFGPCT,Defense 20-24ft OPPFGPCT,Defense 25-29ft OPPFGPCT,Defense 30-34ft OPPFGPCT,Defense 35-39ft OPPFGPCT,Defense 40+ft OPPFGPCT,POINTS,Scoring Drive PTS,Scoring DriveFGPCT,Scoring CATCH_SHOOT_PTS,Scoring CatchShootFGPCT,Scoring PULL_UP_PTS,Scoring PullUpFGPCT,PAINT_TOUCH_PTS,Scoring ITPFGPCT,Scoring POST_TOUCH_PTS,Scoring PostFGPCT,Scoring ELBOW_TOUCH_PTS,Scoring ElbowFGPCT,EFF_FG_PCT,Scoring RA FGM,Scoring RA FGA,Scoring RA FGPCT,Scoring ITP(NonRA) FGM,Scoring ITP(NonRA) FGA,Scoring ITP(NonRA) FGPCT,Scoring MR FGM,Scoring MR FGA,Scoring MR FGPCT,Scoring LC3 FGM,Scoring LC3 FGA,Scoring LC3 FGPCT,Scoring RC3 FGM,Scoring RC3 FGA,Scoring RC3 FGPCT,Scoring ATB3 FGM,Scoring ATB3 FGA,Scoring ATB3 FGPCT,Scoring Backcourt 3FGM,Scoring Backcourt 3FGA,Scoring Backcourt3 FGPCT,Scoring Corner FGM,Scoring Corner FGA,Scoring Corner FGPCT
0,Langston Galloway,8.8,1.8,6.5,4.1,58.3,14.5,100.78,7.4,0.2,1.14,0.0,0.0,0.2,0.5,7.3,58.8,16.1,11.4,14.2,22.5,73.3,100.0,88.4,3.3,1.2,0.9,1.94,1.25,1.6,1.32,204038.0,1610612765.0,66.0,25.8,1.8,0.7,18.8,0.2,7.000000000000001,9.8,7.3,6.8,27.6,5.2,73.0,200.0,Guard,2.5,1.0,35.699999999999996,0.333,0.2,0.1,0.2,0.078,0.766,40.0,0.7,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,DET,28.0,5.0,2.59,2.41,1.3,0.11,0.12,0.27,0.94,0.56,1.091,66.7,0.2,0.1,0.1,13.900000000000002,0.798,34.699999999999996,1.3,1.0,0.4,1.1,17.5,21.1,1.5,3.7,8.799999999999999,1.1,1.5,70.0,63.1,39.0,46.400000000000006,39.300000000000004,42.5,35.6,25.0,0.0,0.0,10.4,1.5,45.1,5.9,41.3,110.00000000000001,40.699999999999996,0.1,44.4,0.0,0.0,0.3,69.19999999999999,56.00000000000001,0.7,1.1,63.5,0.5,1.2,40.300000000000004,0.4,0.9,42.6,0.6,1.0,63.3,0.5,1.1,43.7,1.0,3.0,31.8,0.0,0.0,0.0,1.0,2.0,52.7
1,Anfernee Simons,10.2,1.6,8.4,5.0,51.7,18.1,103.1,6.1,0.4,0.82,0.0,0.0,0.0,0.0,15.5,38.2,11.8,12.7,13.5,33.5,35.0,68.8,46.5,2.4,0.89,2.1,3.8,3.25,1.4,0.93,1629014.0,1610612757.0,70.0,20.7,1.8,0.4,16.0,0.1,5.8999999999999995,6.9,6.6,6.3,20.6,3.3000000000000003,75.0,181.0,Guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.884,40.400000000000006,2.8,1.0,2.4,1.0,38.5,42.699999999999996,1.1,0.4,0.9,POR,21.0,5.14,2.64,2.5,0.54,0.01,0.13,0.31,0.59,0.2,1.5,81.3,0.3,0.2,0.2,6.0,0.737,35.3,0.5,0.4,0.2,0.5,20.3,22.1,1.4,3.7,6.800000000000001,1.2,1.8,65.9,57.099999999999994,38.6,45.300000000000004,40.8,40.9,36.8,21.4,0.0,0.0,8.3,2.6,40.6,2.1,33.800000000000004,250.0,34.4,0.4,76.5,0.0,0.0,0.1,33.300000000000004,46.9,1.0,1.8,55.60000000000001,0.3,1.1,30.8,0.6,1.5,42.1,0.2,0.4,41.699999999999996,0.1,0.3,23.5,0.9,2.6,33.5,0.0,0.0,0.0,0.2,0.6,34.1
2,Bobby Portis,11.9,5.9,18.1,11.8,51.3,20.2,101.75,10.3,0.7,0.89,2.1,0.81,1.1,0.9,13.1,31.8,6.0,10.8,14.6,44.3,52.3,98.2,64.7,2.7,0.99,1.1,1.68,0.69,1.0,1.29,1626171.0,1610612752.0,66.0,21.1,3.9,0.5,15.4,0.3,13.8,7.6,5.7,4.9,19.2,5.4,82.0,250.0,Forward,15.8,0.991,44.6,0.45,1.7,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,40.0,40.0,0.5,0.2,0.5,NYK,25.0,5.94,3.5,2.44,0.79,0.02,1.41,3.14,0.52,4.11,1.031,58.3,0.5,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,23.2,1.5,3.7,5.1,1.8,2.7,65.2,61.8,35.5,43.5,45.0,39.6,37.6,23.5,0.0,0.0,10.1,1.5,54.1,3.8,36.4,130.0,43.6,2.0,47.699999999999996,1.7,47.5,0.8,63.6,50.7,1.4,2.3,60.0,0.9,1.8,47.9,0.8,2.0,38.6,0.2,0.4,52.2,0.1,0.3,25.0,0.8,2.2,34.0,0.0,0.0,0.0,0.2,0.6,41.0
3,Coby White,15.5,1.7,13.0,6.9,47.7,22.3,102.28,7.6,0.2,1.17,0.0,0.0,0.0,0.0,6.9,48.0,20.1,11.1,20.3,34.0,28.0,78.6,50.2,3.4,0.94,2.7,3.82,3.21,2.5,1.06,1629632.0,1610612741.0,65.0,25.8,3.1,0.8,14.000000000000002,0.1,4.2,9.0,6.6,7.1,26.8,7.7,77.0,195.0,Guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.799,39.5,5.0,1.6,4.0,0.786,35.3,35.699999999999996,0.9,0.3,0.8,CHI,20.0,4.54,2.17,2.37,1.32,0.06,0.06,0.14,0.94,0.2,0.0,0.0,0.0,0.0,0.0,7.5,0.887,42.1,1.1,1.0,0.4,0.9,30.7,38.3,2.7,7.0,8.799999999999999,1.5,2.1,71.7,64.5,42.3,47.4,40.699999999999996,39.800000000000004,33.300000000000004,12.5,0.0,0.0,13.2,3.7,41.699999999999996,4.3,36.9,310.0,31.900000000000002,0.2,50.0,0.0,0.0,0.2,100.0,47.8,1.7,3.5,49.6,0.4,1.2,37.2,0.6,1.7,33.6,0.2,0.6,31.7,0.1,0.2,46.7,1.7,4.9,35.4,0.0,0.0,0.0,0.3,0.9,35.699999999999996
4,Dorian Finney-Smith,6.8,6.7,11.2,9.0,59.4,12.8,99.37,7.1,1.0,0.84,0.0,0.0,1.0,1.04,1.2,51.6,15.9,11.6,16.1,35.6,56.8,96.6,76.1,3.8,1.03,1.1,1.85,0.85,1.6,1.24,1627827.0,1610612742.0,71.0,29.9,3.7,0.6,17.1,0.5,19.6,8.9,8.4,9.9,30.0,8.200000000000001,79.0,220.0,Forward,7.7,1.0,47.5,0.429,0.7,0.3,0.6,0.034,0.818,41.199999999999996,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,DAL,27.0,8.55,4.92,3.63,1.55,0.03,0.41,1.03,0.94,1.93,1.429,73.7,0.7,0.4,0.5,1.7000000000000002,0.455,22.2,0.2,0.1,0.0,0.1,27.3,23.5,1.6,4.4,5.8999999999999995,2.3,3.8,60.5,60.4,38.800000000000004,42.199999999999996,39.7,36.0,32.6,63.2,20.0,0.0,9.7,1.0,48.1,4.6,38.4,30.0,25.7,2.1,60.6,0.1,100.0,0.4,80.0,57.599999999999994,1.6,2.5,64.60000000000001,0.1,0.4,30.8,0.1,0.2,30.8,0.5,1.1,42.9,0.5,1.1,42.3,0.7,2.1,32.7,0.0,0.0,0.0,0.9,2.2,42.6
5,Doug McDermott,7.4,1.9,9.6,5.9,61.8,18.3,101.43,8.9,0.3,1.29,0.0,0.0,0.3,1.31,5.2,55.6,12.4,6.3,13.1,32.9,85.3,100.0,92.6,1.9,1.24,0.5,1.31,0.49,1.0,1.38,203926.0,1610612754.0,69.0,19.9,2.1,0.2,6.0,0.1,4.1000000000000005,5.9,6.4,5.4,19.7,8.0,79.0,225.0,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,1.1,40.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,IND,28.0,4.74,2.46,2.28,0.3,0.03,0.19,0.43,0.38,1.17,1.411,71.7,0.8,0.6,0.8,21.5,0.938,40.9,1.9,1.8,0.7,1.7,15.1,16.7,1.1,2.8,7.5,1.3,1.8,74.0,58.9,36.199999999999996,39.800000000000004,42.699999999999996,32.5,33.2,41.9,33.300000000000004,0.0,10.3,1.5,53.2,4.9,42.9,110.00000000000001,35.699999999999996,1.4,71.0,0.0,0.0,0.4,77.8,60.5,1.5,2.2,67.5,0.2,0.5,45.9,0.2,0.9,27.900000000000002,0.4,1.0,43.3,0.1,0.2,41.699999999999996,1.4,3.2,43.9,0.0,0.0,0.0,0.5,1.1,43.1
6,Ivica Zubac,8.7,13.2,22.9,18.1,63.7,16.5,101.91,13.5,0.8,0.68,0.5,0.8,1.9,1.08,6.8,0.0,12.4,19.9,15.6,73.3,72.9,0.0,72.9,0.2,1.09,0.9,1.47,0.4,0.8,1.55,1627826.0,1610612746.0,72.0,18.4,4.8,0.2,7.1,0.9,47.099999999999994,5.9,4.3,5.3,15.6,7.9,84.0,240.0,Center,22.7,1.192,61.4,0.625,1.7,0.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,23.0,9.39,7.49,1.9,0.4,0.01,3.68,8.6,0.46,3.15,1.302,66.7,1.6,0.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,17.8,1.1,2.8,4.1000000000000005,2.0,4.4,46.5,58.8,31.1,41.4,41.099999999999994,38.0,35.199999999999996,31.6,0.0,0.0,8.3,0.1,50.0,0.4,50.0,10.0,75.0,5.9,61.6,0.3,39.1,1.7,64.0,61.3,2.6,4.0,66.0,0.4,0.9,44.1,0.2,0.4,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jalen Brunson,26.4,2.1,10.2,6.2,55.5,19.9,100.79,10.8,0.5,1.32,0.0,0.0,0.0,0.0,15.7,28.0,12.8,13.3,12.6,43.0,23.0,81.4,37.1,1.7,0.98,2.9,4.5,4.04,1.5,0.96,1628973.0,1610612742.0,57.0,17.9,2.0,0.4,17.7,0.1,3.9,5.1,4.8,6.3,17.7,7.000000000000001,73.0,190.0,Guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337,0.933,49.6,2.9,1.1,2.3,0.818,38.9,40.9,0.4,0.1,0.3,DAL,23.0,3.26,1.46,1.81,0.67,0.21,0.09,0.21,0.7,0.51,0.0,0.0,0.0,0.0,0.0,7.6,1.054,47.099999999999994,0.6,0.7,0.3,0.6,27.4,30.8,3.3,9.0,12.0,0.9,1.3,71.39999999999999,59.699999999999996,38.5,44.1,42.199999999999996,33.800000000000004,32.5,37.5,0.0,0.0,8.2,3.8,53.7,1.7,44.6,250.0,39.6,0.3,60.0,0.0,0.0,0.1,50.0,52.1,1.0,1.6,61.5,0.8,1.8,45.5,0.7,1.4,47.4,0.1,0.3,30.8,0.1,0.3,37.5,0.6,1.6,36.3,0.0,0.0,0.0,0.2,0.5,34.5
8,Justin Holiday,7.6,2.0,10.3,6.3,59.1,12.6,102.0,7.8,0.7,0.65,0.0,0.0,0.2,0.67,5.3,65.9,19.1,9.0,20.9,19.8,80.7,97.0,91.1,2.6,1.11,0.8,1.6,0.72,1.7,1.27,203200.0,1610612754.0,73.0,25.0,2.8,1.2,29.599999999999998,0.6,24.0,7.8,8.0,6.7,25.5,9.5,78.0,180.0,Forward-Guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.667,33.300000000000004,0.4,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,IND,31.0,6.97,4.05,2.92,2.03,0.04,0.55,1.23,0.55,1.74,1.161,53.800000000000004,0.4,0.2,0.4,4.9,1.481,59.099999999999994,0.4,0.5,0.2,0.3,21.5,16.9,1.3,3.2,5.8999999999999995,1.7,2.8,60.8,59.8,41.699999999999996,37.6,40.2,33.4,34.1,27.3,50.0,0.0,8.3,0.4,27.6,4.6,39.900000000000006,150.0,40.0,0.6,54.800000000000004,0.0,0.0,0.2,33.300000000000004,56.599999999999994,0.7,1.2,56.2,0.1,0.3,20.0,0.3,0.6,44.7,0.3,0.9,32.800000000000004,0.5,0.9,48.5,1.1,2.7,40.699999999999996,0.0,0.0,0.0,0.7,1.8,40.6
9,Mikal Bridges,8.7,3.3,11.3,7.4,60.8,12.3,103.66,8.3,0.7,0.98,0.0,0.0,0.4,1.35,4.5,27.7,18.9,16.4,21.8,51.4,75.8,100.0,81.8,2.7,0.83,1.0,1.69,0.73,1.6,1.37,1628969.0,1610612756.0,73.0,28.0,3.1,1.4,29.5,0.6,25.8,9.3,7.0,7.0,28.8,9.0,78.0,209.0,Forward,2.1,0.692,42.9,0.385,0.2,0.0,0.1,0.049,0.833,47.8,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,PHX,23.0,6.68,4.34,2.34,2.78,0.01,0.16,0.38,0.85,1.47,1.511,83.8,1.2,0.8,0.9,2.6,0.813,33.300000000000004,0.2,0.2,0.1,0.2,28.2,21.3,1.7,4.6,6.2,2.1,3.5,60.199999999999996,60.4,43.3,36.4,37.3,37.9,36.9,31.8,33.300000000000004,0.0,9.2,1.3,39.6,2.9,35.4,70.0,43.1,1.9,83.6,0.1,0.0,0.6,81.8,58.4,2.0,2.7,73.4,0.2,0.8,31.0,0.2,0.5,38.2,0.2,0.5,43.2,0.3,0.8,40.699999999999996,0.4,1.3,31.3,0.0,0.0,0.0,0.5,1.3,41.699999999999996
